20071105	37640	37623	37623	37623	37623
20071105	37641	37623	37623	37623	37623
20071113	37919	37920	37920	37920	37920
20071114	37957	37955	37955	37955	37955
20071114	37958	37955	37955	37955	37955
20071117	38045	38046	38046	38046	38046
20071118	38077	38076	38076	38076	38076
20071119	38093	38046	38046	38046	38046
20071121	38120	38122	38122	38122	38122
20071206	38279	38267	38267	38267	38267
20071206	38280	38267	38267	38267	38267
20071231	38549	38539	38539	38539	38539
20080206	39114	39132	39132	39132	39132
20080206	39115	39132	39132	39132	39132
20080206	39116	39132	39132	39132	39132
20080207	39150	39149	39149	39149	39149
20080209	39231	39211	39211	39211	39211
20080301	39550	39548	39548	39548	39548
20080302	39570	39571	39571	39571	39571
20080303	39593	39595	39595	39595	39595
20080304	39621	39638	39638	39638	39638
20080305	39673	39693	39693	39693	39693
20080313	39895	39874	39874	39874	39874
20080330	40102	40078	40078	40078	40078
20080430	40583	40355	40355	40355	40355
20080430	40584	40355	40355	40355	40355
20080502	40641	40355	40355	40355	40355
20080503	40678	40355	40355	40355	40355
20080503	40679	40355	40355	40355	40355
20080503	40680	40355	40355	40355	40355
20080503	40681	40355	40355	40355	40355
20080503	40682	40355	40355	40355	40355
20080503	40683	40355	40355	40355	40355
20080503	40684	40355	40355	40355	40355
20080505	40733	40355	40355	40355	40355
20080505	40734	40355	40355	40355	40355
20080506	40754	40355	40355	40355	40355
20080507	40780	40355	40355	40355	40355
20080507	40781	40355	40355	40355	40355
20080525	40930	40956	40956	40956	40956
20080525	40931	40956	40956	40956	40956
20080601	41042	41049	41049	41049	41049
20080603	41087	41098	41098	41098	41098
20080605	41136	41142	41142	41142	41142
20080606	41158	41163	41163	41163	41163
20080606	41159	41163	41163	41163	41163
20080606	41160	41163	41163	41163	41163
20080606	41161	41163	41163	41163	41163
20081205	43495	43483	43483	43483	43483
20091115	48281	48277	48277	48277	48277
20100218	50133	50119	50119	50119	50119
20100218	50134	50119	50119	50119	50119
20100219	50164	50149	50149	50149	50149
20100219	50165	50149	50149	50149	50149
20100219	50166	50149	50149	50149	50149
20100220	50187	50190	50190	50190	50190
20100220	50188	50190	50190	50190	50190
20100503	51146	51143	51143	51143	51143
20110202	54749	54750	54750	54750	54750
20110524	56761	56766	56766	56766	56766
20110528	56882	56886	56886	56886	56886
20120401	61647	61660	61660	61660	61660
20120402	61670	61687	61687	61687	61687
20120420	62071	62064	62064	62064	62064
20120513	62478	62479	62479	62479	62479
20120523	62736	62737	62737	62737	62737
20130110	65956	65953	65953	65953	65953
20130120	66261	66253	66253	66253	66253
20130412	67963	67973	67973	67973	67973
20130412	67964	67973	67973	67973	67973
20130412	67965	67973	67973	67973	67973
20130412	67966	67973	67973	67973	67973
20130413	67987	67993	67993	67993	67993
20130413	67989	67993	67993	67993	67993
20130413	67990	67993	67993	67993	67993
20130414	68006	68008	68008	68008	68008
20130415	68028	68034	68034	68034	68034
20130415	68029	68034	68034	68034	68034
20130415	68031	68034	68034	68034	68034
20130415	68032	68034	68034	68034	68034
20130416	68046	68048	68048	68048	68048
20130508	68380	68391	68391	68391	68391
20140429	73202	73207	73207	73207	73207
20140429	73203	73207	73207	73207	73207
20160113	80216	80202	80202	80202	80202
20161202	84014	84010	84010	84010	84010
20161204	84042	84032	84032	84032	84032
20161208	84107	84101	84101	84101	84101
20170401	85582	85571	85571	85571	85571
20171219	88391	88387	88387	88387	88387
20180117	88844	88840	88840	88840	88840
20180118	88865	88840	88840	88840	88840
20180119	88891	88887	88887	88887	88887
20180122	88947	88957	88957	88957	88957
20180124	89002	89008	89008	89008	89008
20181107	91032	91020	91020	91020	91020
20181108	91057	91053	91053	91053	91053
20181110	91111	91094	91094	91094	91094
20181111	91134	91126	91126	91126	91126
20181112	91159	91151	91151	91151	91151
20181113	91184	91181	91181	91181	91181
20181119	91305	91300	91300	91300	91300
20181210	91519	91504	91504	91504	91504
20190127	91976	91972	91972	91972	91972
20190309	92445	92437	92437	92437	92437
20190413	92944	92945	92945	92945	92945
20190426	93012	93021	93021	93021	93021
20190427	93034	93035	93035	93035	93035
20190428	93051	93052	93052	93052	93052
20190430	93086	93087	93087	93087	93087
20190501	93108	93101	93101	93101	93101
20190502	93126	93130	93130	93130	93130
20190505	93181	93182	93182	93182	93182
20190530	93388	93391	93391	93391	93391
20190531	93407	93405	93405	93405	93405
20190601	93428	93433	93433	93433	93433
20190602	93449	93448	93448	93448	93448
20190603	93465	93471	93471	93471	93471
20190605	93499	93509	93509	93509	93509
20190606	93524	93523	93523	93523	93523

